,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
808167,for_sale,599000,2,1,,"35-20 Leverich St Unit 229, New York, NY, 11377",35-20 Leverich St,New York,New York,11377,774,
477158,for_sale,2380000,,4,0.07,"864 53rd St, Brooklyn, NY, 11220",864 53rd St,Brooklyn,New York,11220,,8/15/18
813710,for_sale,1275000,2,2,,"415 E 52nd St Apt 3DC, New York, NY, 10022",415 E 52nd St,New York,New York,10022,,11/9/04
525267,for_sale,1500000,4,2,3.16,"787 Haverstraw Rd, Suffern, NY, 10901",787 Haverstraw Rd,Suffern,New York,10901,2315,
737076,for_sale,1750000,5,3,0.04,"267 Withers St, New York City, NY, 11211",267 Withers St,New York City,New York,11211,2016,3/11/16
581754,for_sale,189000,,1,,"129 Beach 118th St Apt 2J, Rockaway Park, NY, 11694",129 Beach 118th St,Rockaway Park,New York,11694,,
814825,for_sale,3100000,5,4,0.08,"801 Ocean Pkwy, Brooklyn, NY, 11230",801 Ocean Pkwy,Brooklyn,New York,11230,2728,
780800,for_sale,1250000,,,0.04,"473 Ralph Ave, New York City, NY, 11233",473 Ralph Ave,New York City,New York,11233,4350,
772728,for_sale,850000,1,1,,"200 E 74th St Apt 11F, New York, NY, 10021",200 E 74th St,New York,New York,10021,750,
880241,for_sale,389000,,1,,"335 W 21st St Apt 2RW, New York City, NY, 10011",335 W 21st St,New York City,New York,10011,,
785804,for_sale,2250000,3,3,,"805 Washington Ave Apt 4D, Brooklyn, NY, 11238",805 Washington Ave,Brooklyn,New York,11238,1582,12/7/20
799765,for_sale,3500000,2,3,,"100 Barclay St Apt 15L, New York, NY, 10007",100 Barclay St,New York,New York,10007,1613,
801854,for_sale,749000,1,1,,"345 E 81st St Apt 3N, New York, NY, 10028",345 E 81st St,New York,New York,10028,,
884958,for_sale,960000,1,1,,"1623 Third Ave Unit 38J, New York, NY, 10128",1623 Third Ave,New York,New York,10128,833,11/14/13
774797,for_sale,3950000,7,5,0.05,"102 W 123rd St, New York City, NY, 10027",102 W 123rd St,New York City,New York,10027,4720,1/15/79
770438,for_sale,289000,1,1,,"61-40 Saunders St Unit A5, Rego Park, NY, 11374",61-40 Saunders St,Rego Park,New York,11374,,7/20/07
827502,for_sale,5995000,2,2,,"956 5th Ave Apt 14A, New York City, NY, 10075",956 5th Ave,New York City,New York,10075,,
739297,for_sale,2250000,3,3,,"805 Washington Ave Apt 4D, Brooklyn, NY, 11238",805 Washington Ave,Brooklyn,New York,11238,1582,12/7/20
737635,for_sale,1895000,5,5,0.05,"537 Bainbridge St, New York City, NY, 11233",537 Bainbridge St,New York City,New York,11233,2700,6/10/13
563546,for_sale,850000,1,1,,"39 Gramercy Park N Apt 5F, New York, NY, 10010",39 Gramercy Park N,New York,New York,10010,,8/3/21
